Open,High,Close,Low,Volume,Date
1.68,1.7,1.7,1.665,5198100,18-08-2017
1.695,1.7,1.695,1.67,4482223,21-08-2017
1.695,1.707,1.705,1.69,3088887,22-08-2017
1.71,1.715,1.705,1.695,3994945,23-08-2017
1.7,1.72,1.71,1.685,5774869,24-08-2017
1.705,1.722,1.715,1.7,4576012,25-08-2017
1.715,1.72,1.72,1.695,5207838,28-08-2017
1.71,1.727,1.72,1.705,4786781,29-08-2017
1.7,1.712,1.7,1.68,5433122,30-08-2017
1.7,1.74,1.74,1.695,7695627,31-08-2017
1.755,1.755,1.745,1.74,2900179,01-09-2017
1.72,1.745,1.72,1.72,3765708,04-09-2017
1.715,1.725,1.725,1.7,6043591,05-09-2017
1.72,1.727,1.71,1.705,4456733,06-09-2017
1.725,1.73,1.73,1.712,3603202,07-09-2017
1.73,1.732,1.73,1.72,2440413,08-09-2017
1.74,1.742,1.735,1.73,5212802,11-09-2017
1.73,1.735,1.735,1.72,3540376,12-09-2017
1.73,1.74,1.73,1.715,5012682,13-09-2017
1.72,1.727,1.72,1.71,4571669,14-09-2017
1.72,1.725,1.67,1.668,7024499,15-09-2017
1.68,1.7,1.69,1.68,4784833,18-09-2017
1.69,1.695,1.69,1.675,4721195,19-09-2017
1.685,1.707,1.7,1.677,5624957,20-09-2017
1.705,1.705,1.665,1.66,5792867,21-09-2017
1.675,1.678,1.675,1.655,4714382,22-09-2017
1.65,1.675,1.675,1.65,5001573,25-09-2017
1.68,1.695,1.67,1.67,5470908,26-09-2017
1.675,1.68,1.67,1.665,3965205,27-09-2017
1.67,1.685,1.68,1.66,4212099,28-09-2017
1.685,1.702,1.69,1.675,5566735,29-09-2017
1.695,1.72,1.7,1.685,2239033,02-10-2017
1.695,1.7,1.69,1.675,2888143,03-10-2017
1.685,1.695,1.66,1.66,5409910,04-10-2017
1.66,1.69,1.675,1.66,3575551,05-10-2017
1.685,1.685,1.68,1.668,3178908,06-10-2017
1.67,1.7,1.68,1.67,2760783,09-10-2017
1.67,1.697,1.68,1.67,3160324,10-10-2017
1.685,1.705,1.695,1.685,4504882,11-10-2017
1.69,1.725,1.71,1.69,5744215,12-10-2017
1.72,1.735,1.73,1.71,2962443,13-10-2017
1.73,1.747,1.73,1.73,3356483,16-10-2017
1.725,1.745,1.73,1.72,3756250,17-10-2017
1.73,1.755,1.73,1.73,6107285,18-10-2017
1.735,1.74,1.735,1.73,8044006,19-10-2017
1.725,1.763,1.755,1.72,5696926,20-10-2017
1.76,1.77,1.74,1.737,3490963,23-10-2017
1.74,1.763,1.76,1.735,3261776,24-10-2017
1.76,1.77,1.765,1.74,2261852,25-10-2017
1.765,1.77,1.76,1.75,3400597,26-10-2017
1.77,1.773,1.77,1.745,3570295,27-10-2017
1.77,1.773,1.77,1.76,6105600,30-10-2017
1.76,1.78,1.77,1.76,6064295,31-10-2017
1.77,1.793,1.785,1.77,9639197,01-11-2017
1.79,1.795,1.78,1.775,4868036,02-11-2017
1.785,1.803,1.795,1.78,4009801,03-11-2017
1.795,1.8,1.79,1.785,6040081,06-11-2017
1.79,1.805,1.785,1.785,7736714,07-11-2017
1.785,1.825,1.82,1.785,7274761,08-11-2017
1.825,1.845,1.835,1.815,6182810,09-11-2017
1.82,1.84,1.83,1.82,5426840,10-11-2017
1.83,1.855,1.855,1.815,8268119,13-11-2017
1.845,1.865,1.855,1.842,6431415,14-11-2017
1.855,1.89,1.85,1.847,8994395,15-11-2017
1.855,1.865,1.855,1.85,5541864,16-11-2017
1.87,1.87,1.845,1.837,6493745,17-11-2017
1.825,1.83,1.785,1.77,7625900,20-11-2017
1.79,1.815,1.815,1.775,9949278,21-11-2017
1.805,1.845,1.845,1.805,12507604,22-11-2017
1.845,1.845,1.825,1.815,6028866,23-11-2017
1.825,1.825,1.815,1.8,7588368,24-11-2017
1.8,1.84,1.82,1.8,4991328,27-11-2017
1.81,1.86,1.855,1.81,12238671,28-11-2017
1.86,1.875,1.86,1.845,5980592,29-11-2017
1.895,1.895,1.875,1.86,9164257,30-11-2017
1.875,1.885,1.875,1.87,4910673,01-12-2017
1.875,1.89,1.88,1.867,4731646,04-12-2017
1.865,1.9,1.9,1.86,6397649,05-12-2017
1.9,1.928,1.925,1.89,10041303,06-12-2017
1.925,1.942,1.925,1.92,5235046,07-12-2017
1.925,1.955,1.925,1.92,4230208,08-12-2017
1.93,1.94,1.925,1.92,4652298,11-12-2017
1.93,1.94,1.925,1.915,8057659,12-12-2017
1.925,1.928,1.9,1.895,5650467,13-12-2017
1.91,1.92,1.875,1.87,7842285,14-12-2017
1.89,1.89,1.855,1.845,7680787,15-12-2017
1.87,1.888,1.86,1.855,8792013,18-12-2017
1.86,1.875,1.86,1.855,5521123,19-12-2017
1.85,1.865,1.82,1.817,8172734,20-12-2017
1.8,1.82,1.815,1.79,8351089,21-12-2017
1.81,1.83,1.8,1.8,4798822,22-12-2017
1.8,1.825,1.815,1.795,2907976,27-12-2017
1.815,1.825,1.815,1.805,2433090,28-12-2017
1.81,1.82,1.805,1.795,4584807,29-12-2017
1.795,1.825,1.805,1.795,3606351,02-01-2018
1.8,1.805,1.79,1.785,2961542,03-01-2018
1.8,1.8,1.785,1.76,5012681,04-01-2018
1.76,1.778,1.77,1.755,3560032,05-01-2018
1.775,1.795,1.785,1.76,3510065,08-01-2018
1.795,1.795,1.775,1.77,3709884,09-01-2018
1.78,1.79,1.76,1.755,5470636,10-01-2018
1.765,1.775,1.76,1.745,6337078,11-01-2018
1.76,1.765,1.725,1.72,4293867,12-01-2018
1.77,1.775,1.735,1.725,4219273,15-01-2018
1.7,1.727,1.7,1.695,4958365,16-01-2018
1.71,1.715,1.71,1.7,6761328,17-01-2018
1.715,1.735,1.725,1.705,6579736,18-01-2018
1.725,1.735,1.7,1.7,4578780,19-01-2018
1.72,1.727,1.715,1.705,7575138,22-01-2018
1.72,1.72,1.705,1.692,4465150,23-01-2018
1.7,1.727,1.715,1.695,5401799,24-01-2018
1.705,1.715,1.675,1.665,5774445,25-01-2018
1.69,1.71,1.69,1.685,6200039,29-01-2018
1.66,1.688,1.665,1.655,4079637,30-01-2018
1.665,1.697,1.695,1.66,6467301,31-01-2018
1.69,1.72,1.7,1.69,4127704,01-02-2018
1.7,1.707,1.705,1.655,6363271,02-02-2018
1.68,1.7,1.685,1.665,6994083,05-02-2018
1.65,1.66,1.62,1.615,9559135,06-02-2018
1.67,1.67,1.615,1.6,7327050,07-02-2018
1.595,1.62,1.615,1.59,5930245,08-02-2018
1.61,1.675,1.625,1.592,8918028,09-02-2018
1.605,1.615,1.585,1.57,6030862,12-02-2018
1.585,1.61,1.61,1.565,4933791,13-02-2018
1.595,1.605,1.575,1.572,5897491,14-02-2018
1.59,1.62,1.62,1.585,4102591,15-02-2018
1.595,1.655,1.64,1.595,5533627,16-02-2018
1.645,1.69,1.68,1.645,7192969,19-02-2018
1.67,1.685,1.68,1.645,5157519,20-02-2018
1.665,1.68,1.645,1.64,4974702,21-02-2018
1.645,1.645,1.63,1.61,4548011,22-02-2018
1.655,1.668,1.665,1.63,3947042,23-02-2018
1.68,1.685,1.685,1.65,4114769,26-02-2018
1.685,1.685,1.67,1.66,4287124,27-02-2018
1.67,1.7,1.7,1.655,6230282,28-02-2018
1.685,1.69,1.645,1.638,5484287,01-03-2018
1.64,1.655,1.635,1.622,4300395,02-03-2018
1.625,1.635,1.61,1.605,4727700,05-03-2018
1.62,1.665,1.655,1.62,3861050,06-03-2018
1.645,1.655,1.635,1.625,5403052,07-03-2018
1.645,1.665,1.665,1.638,3305300,08-03-2018
1.665,1.685,1.675,1.66,3587810,09-03-2018
1.68,1.685,1.66,1.65,5288730,12-03-2018
1.65,1.683,1.68,1.645,3950251,13-03-2018
1.66,1.67,1.665,1.63,4681076,14-03-2018
1.64,1.66,1.63,1.62,7341702,15-03-2018
1.635,1.675,1.665,1.63,9480874,16-03-2018
1.67,1.725,1.72,1.67,7718719,19-03-2018
1.715,1.727,1.725,1.695,7856670,20-03-2018
1.725,1.735,1.705,1.695,6143215,21-03-2018
1.69,1.705,1.695,1.67,3623175,22-03-2018
1.675,1.69,1.65,1.645,6445133,23-03-2018
1.635,1.685,1.67,1.635,6381143,26-03-2018
1.665,1.695,1.68,1.64,5113524,27-03-2018
1.655,1.695,1.675,1.655,5858569,28-03-2018
1.685,1.695,1.675,1.66,9032303,29-03-2018
1.65,1.68,1.66,1.65,5656155,03-04-2018
1.655,1.665,1.635,1.625,7457601,04-04-2018
1.65,1.665,1.655,1.635,7189623,05-04-2018
